subject,name,url
Budget,FIN-1.43 - FY 2009-10 Spring Supplemental Budget,article/305325
Budget,FIN-1.44 - FY 2010-11 Funds from State Under State Revenue Sharing Program,article/319283
Budget,FIN-1.45 - FY 2010-11 Annual Budget,article/319482
Budget,FIN-1.46 - FY 2010-11 Fall Supplemental Budget,article/327322
Budget,FIN-1.47 - FY 2010-11 Winter Supplemental Budget,article/339748
Budget,FIN-1.48 - FY 2010-11 Spring Supplemental Budget,article/351137
Budget,FIN-1.49 - FY 2011-12 Funds from State Under State Revenue Sharing Program,article/359562
Budget,FIN-1.50 - FY 2011-12 Annual Budget,article/359715
Budget,FIN-1.51 - FY 2010-11 Supplemental Budget Over-Expenditure Process,article/359778
Budget,FIN-1.52 - FY 2011-12 Fall Supplemental Budget,article/377083
Budget,FIN-1.53 - FY 2011-12 Spring Supplemental Budget,article/396633
Budget,FIN-1.54 - FY 2012-13 Funds from State Under State Revenue Sharing Program,article/406606
Budget,FIN-1.55 - FY 2011-12 Supplemental Budget Over-Expenditure Process,article/406732
Budget,FIN-1.56 - FY 2012-13 Annual Budget,article/406781
Budget,FIN-1.57 - FY 2012-13 Fall Supplemental Budget,article/422855
Budget,FIN-1.58 - FY 2012-13 Winter Supplemental Budget,article/436991
Budget,FIN-1.59 - FY 2012-13 Spring Supplemental Budget,article/446107
Budget,FIN-1.60 - FY 2012-13 Supplemental Budget Over-Expenditure Process,article/462584
Budget,FIN-1.61 - FY 2013-14 Funds from State Under State Revenue Sharing Program,article/462608
Budget,FIN-1.62 - FY 2013-14 Annual Budget,article/462652
Budget,FIN-1.63 - FY 2013-14 Fall Supplemental Budget,article/472095
Budget,FIN-1.64 - FY 2013-14 Spring Supplemental Budget,article/490881
Budget,FIN-1.65 - FY 2013-14 Supplemental Budget Over-Expenditure Process,article/497354
Budget,FIN-1.66 - FY 2014-15 Funds from State Under State Revenue Sharing Program,article/497356
Budget,FIN-1.67 - FY 2014-15 Annual Budget,article/497363
Budget,FIN-1.68 - FY 2014-15 Fall Supplemental Budget,article/510606
Budget,FIN-1.69 - FY 2014-15 Spring Supplemental Budget,article/531121
Budget,FIN-1.70 - FY 2014-15 Supplemental Budget Over-Expenditure Process,article/537322
Budget,FIN-1.71 - FY 2015-16 Funds from State Under State Revenue Sharing Program,article/537324
Budget,FIN-1.72 - FY 2015-16 Annual Budget,article/537331
Budget,FIN-1.73 - FY 2015-16 Fall Supplemental Budget,article/557242
Budget,FIN-1.74 - FY 2015-16 Revised Budget for Housing Emergency,article/571412
Budget,FIN-1.75 - FY 2015-16 Spring Supplemental Budget,article/575299
Budget,FIN-1.76 - FY 2016-17 Funds from State Under State Revenue Sharing Program,article/582697
Budget,FIN-1.77 - FY 2016-17 Annual Budget,article/582702
Budget,FIN-1.78 - FY 2015-16 Supplemental Budget Over-Expenditure Process,article/585176
Budget,FIN-1.79 - FY 2016-17 Fall Supplemental Budget,article/618584
Budget,FIN-1.80 - FY 2016-17 Spring Supplemental Budget,article/638545
Budget,FIN-1.81 - FY 2017-18 Funds from State Under State Revenue Sharing Program,article/647995
Budget,FIN-1.82 - FY 2017-18 Annual Budget,article/648004
Budget,FIN-1.83 - FY 2016-17 Supplemental Budget Over-Expenditure Process,article/648013
Budget,FIN-1.84 - FY 2017-18 Fall Supplemental Budget,article/670963
Budget,FIN-1.85 - FY 2017-18 Spring Supplemental Budget,article/685582
Budget,FIN-1.86 - FY 2018-19 Annual Budget,article/693969
Budget,FIN-1.87 - FY 2017-18 Supplemental Budget Over-Expenditure Process,article/693972
Budget,FIN-1.88 - FY 2018-19 Fall Supplemental Budget,article/704805
Budget,FIN-1.89 - FY 2018-19 Spring Supplemental Budget,article/734079
Cable & Franchises ,UTL-1.01 - Cable Fund,article/10576
Cable & Franchises ,UTL-1.02 - Franchise Application Procedure,article/10577
Cable & Franchises ,UTL-1.03 - Wireless Right-of-Way Agreement Application Procedure,article/10579
Cable & Franchises ,UTL-1.04 - Competitive Cable Franchise Application Process,article/155318
Cable & Franchises ,UTL-1.05 - Siting Private Wireless Facilities in City Right-Of-Way,article/269953
City Council,"ADM-7.01 - Drafting Manual for Ordinances, Resolutions & Reports",article/52340
City Council,ADM-7.02 - Council and Contracts Program Policies & Procedures,article/63123
City Council,ADM-7.03 - Council Documents Redaction / Non-Disclosure Policy,article/489246
Civil Rights,ADM-18.01 - City of Portland Civil Rights Title VI Plan,article/462588
Civil Rights,ADM-18.02 - Title VI Civil Rights Complaint Procedures,article/478339
Civil Rights,ADM-18.20 - Title II ADA Complaint Procedures,article/478341
Civil Rights,ADM-18.21 - City of Portland American's With Disabilities Act Title II Non-discrimination Policy,article/478249
Civil Rights,ADM-18.22 - Americans with Disabilities Act Title II Process for Documenting Technical Infeasibility and Historical Significance Exceptions,article/533207
Classification & Compensation ,HRAR-8.01 - Hours of Work and Schedules,article/11986
Classification & Compensation ,HRAR-8.02 - Hours of Work and Overtime Compensation - FLSA Covered Employees,article/12438
Classification & Compensation ,"HRAR-8.03 - Hours of Work, Overtime Compensation & Management Leave: FLSA Exempt Employees",article/12439
Classification & Compensation ,HRAR-8.04 - Compensation,article/12440
Classification & Compensation ,HRAR-8.05 - Classification,article/12441
Classification & Compensation ,HRAR-8.06 - Working Out of Classification,article/12442
Cultural Resources ,ART-2.01 - Cultural Resource Records,article/56606
Development Services Administrative Policies & Procedures,ENB-13.01 - Accessory Short Term Rental (ASTR) Enforcement,article/629236
Development Services Administrative Policies & Procedures,ENB-13.04 - Fee Refunds ,article/74633
Development Services Administrative Policies & Procedures,ENB-13.21 - Recurring Environmental Violation Enforcement Process and Fines,article/102375
Development Services Administrative Policies & Procedures,ENB-13.22 - Fee Waivers,article/126574
Development Services Administrative Policies & Procedures,ENB-13.23 - Permitting Original Art Murals,article/264736
Development Services Administrative Policies & Procedures,ENB-13.24 - Notification Process for Final Land Division Decisions (Plats),article/545836
Development Services Administrative Policies & Procedures,ENB-13.25 - Administrative Fees for Land Use Processes,article/549994
Development Services Fee Schedules,ENB-14.01 - Building and Other Permits Fee Schedule,article/78998
Development Services Fee Schedules,ENB-14.02 - Electrical Permit Fee Schedule,article/79028
Development Services Fee Schedules,ENB-14.04 - Land Use Services Fee Schedule,article/79126
Development Services Fee Schedules,ENB-14.05 - Mechanical Permit Fee Schedule,article/79528
Development Services Fee Schedules,ENB-14.07 - Plumbing Permit Fee Schedule,article/79610
Development Services Fee Schedules,"ENB-14.08 - Sign, Awning Permit and Registration Fee Schedule",article/79657
Development Services Fee Schedules,ENB-14.09 - Site Development Fee Schedule,article/79622
Development Services Fee Schedules,ENB-14.10 - Enforcement Fee and Penalty Schedule,article/81841
Development Services Fee Schedules,ENB-14.11 - Site Development Fee Schedule for Land Use Reviews,article/693066
Development Services Fee Schedules,ENB-14.12 - Life Safety Review Fee on Land Use Cases,article/693039
Discipline,HRAR-5.01 - Discipline,article/11983
Diversity Development & Affirmative Action ,BHR-16.01 - Diversity Development/Affirmative Action Guiding Principles and Strategic Plan,article/26804
Diversity Development & Affirmative Action ,BHR-16.02 - Equal Employment Opportunity Affirmative Action Plan 2008-2012,article/102240
Diversity Development & Affirmative Action ,BHR-16.03 - Equal Employment Opportunity Affirmative Action Plan 2008-2012 - Extension,article/384009
Diversity Development & Affirmative Action ,BHR-16.04 - City of Portland Equal Employment Opportunity Affirmative Action Plan 2013-2017,article/462485
Diversity Development & Affirmative Action ,BHR-16.05 - Charles Jordan Standard for Direct Appointments,article/564587
Diversity Development & Affirmative Action ,BHR-16.06 - City of Portland Equal Employment Opportunity Affirmative Action Plan 2013-2017 - Extension,article/638581
Diversity Development & Affirmative Action ,BHR-16.07 - Equal Employment Opportunity Affirmative Action Plan for Minorities & Women 2018-2022,article/670896
Elections,General,39509
Elections,Open and Accountable Elections Program,79520
Emergency Operations,Emergency Operations Plans,64904
Emergency Operations,Business Continuity and Emergency Response,64903
Employee Behavior & Expectations - Rules,HRAR-4.01 - Drug & Alcohol Use Prohibited,article/11982
Employee Behavior & Expectations - Rules,HRAR-4.02 - Smoking and Tobacco,article/12198
Employee Behavior & Expectations - Rules,"HRAR-4.03 - Dress, Appearance and Fragrance in the Work Place",article/12199
Employee Behavior & Expectations - Rules,HRAR-4.04 - Telework,article/12200
Employee Behavior & Expectations - Rules,HRAR-4.05 - Outside Employment and Volunteer Activities,article/12203
Employee Behavior & Expectations - Rules,HRAR-4.06 - Political Activity,article/12204
Employee Behavior & Expectations - Rules,"HRAR-4.07 - Awards, Gifts, Prizes and Promotional Items",article/12206
Employee Behavior & Expectations - Rules,HRAR-4.08 - Information Technologies,article/12209
Employee Behavior & Expectations - Rules,HRAR-4.08(A) - Social Media,article/372781
Employee Behavior & Expectations - Rules,HRAR-4.09 - Use of City Resources,article/12210
Employee Behavior & Expectations - Rules,HRAR-4.10 - Travel,article/12212
Employee Behavior & Expectations - Rules,HRAR-4.11 - Inclement Weather,article/12245
Employee Behavior & Expectations - Rules,HRAR-4.12 - Workplace Violence Prohibited,article/12246
Employee Behavior & Expectations - Rules,HRAR-4.13 - Vehicle Loss Control,article/12247
Employee Behavior & Expectations - Rules,HRAR-4.14 Renumbered to HRAR-11.03 - Duty to Report Unlawful or Improper Actions,article/92431
Employee Benefits,HRAR-10.01 - Benefits General,article/11988
Employee Benefits,HRAR-10.02 - Employee Assistance Program (EAP),article/12006
Employee Benefits,HRAR-10.03 - Trip Reduction Incentive Program (TRIP),article/12007
Employee Development & Training,HRAR-9.01 - Employee Training and Development,article/11987
Employee Development & Training,HRAR-9.02 - Performance Management,article/12443
Employee Development & Training,HRAR-9.03 - Training Plans,article/12444
Employee Movement ,HRAR-7.01 - Transfers,article/11985
Employee Movement ,HRAR-7.02 - Promotions,article/12429
Employee Movement ,HRAR-7.03 - Demotion,article/12430
Employee Movement ,HRAR-7.04 - Redeployment,article/12431
Employee Movement ,HRAR-7.05 - Separation from Service,article/12432
Employee Movement ,HRAR-7.06 - Layoff & Recall,article/12433
Employee Movement ,HRAR-7.07 - Reinstatement,article/12434
Employee Movement ,HRAR-7.08 - Injured Employee Return to Work,article/12435
Employee Movement ,HRAR-7.09 - Medical Layoff,article/12436
Employee Movement ,HRAR-7.10 - Organization and Position Management,article/25617
Employee Movement ,HRAR-7.11 - Unemployment Claims,article/12437
Employment,HRAR-3.01 - Recruitment Processes,article/11981
Employment,HRAR-3.02 - Eligible Lists,article/12177
Employment,HRAR-3.03 - Types of Appointments,article/12178
Employment,HRAR-3.04 - Temporary Appointments,article/12179
Employment,HRAR-3.05 - Employment of Minors,article/12180
Employment,HRAR-3.06 - Employment of Retirees,article/12181
Employment,HRAR-3.07 - Veterans' Preference,article/12182
Employment,HRAR-3.08 - Probationary Period,article/12183
Employment,HRAR-3.09 - Driving Records,article/12184
Employment,HRAR-3.10 - Nepotism,article/12185
Employment,HRAR-3.11 - Criminal Conviction Checks,article/12186
Employment,HRAR-3.12 - Reference Checks & Employment Verification,article/12187
Employment,HRAR-3.13 - Employee Representation,article/12188
Employment,HRAR-3.14 - College Work-Study Program,article/12189
Employment,HRAR-3.15 - Civil Service Board,article/12190
Employment,HRAR-3.16 - Background Investigations,article/12191
Endangered Species ,ENN-4.01 - Lower Columbia Steelhead Recovery Plan,article/24569
Endangered Species ,ENN-4.02 - Portland Recovery Plan for Salmon and Trout,article/24570
Energy,ENN-6.01 - Energy Policy,article/36237
Energy,ENN-6.02 - Renewable Fuel Standard (Biofuels),article/164208
Energy,See also Biofuels Requirements of City-Owned Vehicles,article/128781
Equal Employment,HRAR-2.01 - Equal Employment Opportunity (EEO)/Affirmative Action,article/11980
Equal Employment,"HRAR-2.02 - Prohibition Against Workplace Harassment, Discrimination and Retaliation",article/12121
Equal Employment,HRAR-2.03 - Bloodborne Pathogen Exposure and the Workplace,article/12122
Equal Employment,HRAR-2.04 - Gender Identity Non-Discrimination,article/12123
Equal Employment,HRAR-2.05 - Domestic Partners,article/12124
Equal Employment,HRAR-2.06 - Title I Reasonable Accommodations For People With Disabilities,article/714199
Facilities,ADM-13.01 - Bureaus to Locate Operations in City Owned Facilities,article/96923
Facilities,ADM-13.02 - Disposition of City Real Property,article/539444
Facilities,ADM-13.03 - All-User Restrooms,article/580558
Facilities,ADM-13.04 - Additional Rule of Conduct Applicable to Identified City Property,article/704824
Facilities,See Also - ART-3.01 - Prioritize Location Of City Offices And Operations In Historic Buildings ,article/96924
Finance,"
Budget
",27438
Finance,"
Comprehensive Financial Management Policies
",47787
Finance,"
Fund Statements of Purpose
",71584
Finance,"
Funds & Accounts
",31217
Finance,"
Levies & Taxation
",34441
Finance,"
Accounting Administrative Rules
",34747
Finance,"
Enterprise Business Solution (EBS)
",52471
Finance,"
See also
",31328
Fire & Police Disability & Retirement Fund,BHR-15.01 - FPDR Fund Benefits to Members' Same-Sex Domestic Partners,article/7306
Fire & Police Disability & Retirement Fund,"BHR-15.02 - Defense of 2006 Voter-Approved Reforms to the Fire and Police Disability, Retirement, and Death Benefit Plan",article/295694
Fire & Police Disability & Retirement Fund,"See Also HRAR-6.14 Restoration and Use of Accrued Leave for FPDR Members (PDF document, 33kb)",article/40364
Fire & Police Disability & Retirement Fund,"See Also Fire & Police Disability, Retirement & Death Benefit Plan Administrative Rules",article/55635
Fire & Rescue Administration,FIR-1.01 - Code Enforcement Policies,article/25263
Fire & Rescue Administration,FIR-1.02 - Illegal Residential Occupancy in Commercial Buildings,article/223100
Fire & Rescue Administration,FIR-1.03 - Illegal Occupancies,article/25265
Fire & Rescue Administration,FIR-1.04 - Fire Watch,article/25272
Fire & Rescue Administration,FIR-1.05 - Citations,article/160531
Fire & Rescue Administration,FIR-1.06 - Assembly Inspections,article/320066
Fire & Rescue Administration,FIR-1.07 - Company Fire Inspection Program,article/160557
Fire & Rescue Administration,FIR-1.08 - Administrative Review/Appeals,article/25594
Fire & Rescue Administration,FIR-1.10 - Inspection Program Frequency,article/320698
Fire & Rescue Administration,FIR-1.11 - Unsafe Buildings Alert Program,article/206532
Fire & Rescue Administration,FIR-1.12 - Online Fire System Reporting Program - OFSR,article/320984
Fire & Rescue Administration,FIR-1.13 - Fire & Life Safety Emergency Plan Permit Process,article/25616
Fire & Rescue Administration,FIR-1.14 - Issuance of Public/Special Event Citations,article/25633
"Fire Protection, General ","FIR-2.01 - Development Processes, Standards & Guidelines",article/25634
"Fire Protection, General ",FIR-2.02 - Requirement for Emergency Lighting,article/25661
"Fire Protection, General ",FIR-2.04 - Use of NFPA Standards Not Adopted by Code,article/25683
"Fire Protection, General ",FIR-2.05 - Rubbish Containers,article/25684
"Fire Protection, General ",FIR-2.08 - Fire Escape Issues,article/185711
"Fire Protection, General ",FIR-2.11 - Fire Door Testing and Disabled Fire Doors,article/25690
"Fire Protection, General ",FIR-2.13 - Storage and Laundry Rooms - Separation from Living Spaces,article/25694
"Fire Protection, General ",FIR-2.14 - Use of Explosives Within the City of Portland,article/158960
"Fire Regulations, Alarm Systems & Devices ",FIR-6.01 - Approved Central Stations,article/25872
"Fire Regulations, Alarm Systems & Devices ",FIR-6.02 - Fire Alarm Test Intervals and Procedures,article/25874
"Fire Regulations, Alarm Systems & Devices ",FIR-6.03 - Fire Alarm System Monitoring,article/25875
"Fire Regulations, Alarm Systems & Devices ",FIR-6.06 - Repetitive Commercial Alarm Responses,article/160559
"Fire Regulations, Alarm Systems & Devices ",FIR-6.07 - Smoke Detector Installation in Rental Units,article/25878
"Fire Regulations, Alarm Systems & Devices ",FIR-6.08 - Fire Alarm Initiating Devices on Security Systems,article/222673
"Fire Regulations, Alarm Systems & Devices ",FIR-6.10 - Abating Smoke Alarm Violations,article/25927
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.01 - Removal of Hose Bundles,article/25996
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment","FIR-8.02 - Inspection, Testing and Maintenance of Water-Based Systems",article/25997
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment","FIR-8.03 - Fire Extinguisher Monthly ""Self-Inspection"" Maintenance Acceptance",article/222990
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.04 - Fire Extinguishers For Multi-Family Dwellings,article/25998
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.05 - Sprinkler Requirement in Existing A2 Occupancies,article/25999
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.06 - Power Supply Requirements for Electric Motor-Driven Fire Pumps,article/26000
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.08 - Cleaning of Commercial Cooking Hood and Ventilation Systems,article/40358
"Fire Regulations, Fixed & Portable Fire Extinguishing Systems & Equipment",FIR-8.09 - Sprinkler Requirements for Nightclubs in Existing Buildings,article/484690
"Fire Regulations, Flammable & Combustible Liquids",FIR-7.01 - Abandoned Flammable Liquid Storage Tanks,article/25928
"Fire Regulations, Flammable & Combustible Liquids",FIR-7.05 - Placarding of Hazardous Materials Facilities,article/25992
"Fire Regulations, Miscellaneous Appliances & Devices ",FIR-4.01 - Enclosed Radiant Electric Boilers,article/25834
"Fire Regulations, Miscellaneous Directives ",FIR-11.02 - Use of Lock Boxes,article/26010
"Fire Regulations, Seasonal & Special Events ",FIR-3.02 - Full Text of Rule,article/677831
"Fire Regulations, Seasonal & Special Events ",FIR-3.02 - Holiday Decor and Fire Safety,article/25696
"Fire Regulations, Seasonal & Special Events ",FIR-3.03 - Haunted Houses and Similar Temporary Installations,article/25697
"Fire Regulations, Seasonal & Special Events ","FIR-3.04 - Street Fairs, Festivals and Special Events",article/25699
"Fire Regulations, Seasonal & Special Events ",FIR-3.05 - Fireworks - Retail Sales,article/25700
"Fire Regulations, Seasonal & Special Events ",FIR-3.06 - Fireworks - Public Display,article/25727
"Fire Regulations, Seasonal & Special Events ",FIR-3.07 - Fire Performance Art,article/25728
"Fire Regulations, Seasonal & Special Events ",FIR-3.08 - Outdoor Burning & Burning Guidelines,article/25742
"Fire Regulations, Seasonal & Special Events ",FIR-3.10 - Small Scale Special Effects,article/25751
"Fire Regulations, Seasonal & Special Events ",FIR-3.11 - Public Assembly Event Permits,article/25772
"Fire Regulations, Seasonal & Special Events ",FIR-3.12 - Temporary Public Assembly Permits for Non-Assembly Type Occupancies,article/159583
"Fire Regulations, Seasonal & Special Events ",FIR-3.13 - Sweat Lodges (Native American Religious Rite),article/25773
"Fire Regulations, Seasonal & Special Events ",FIR-3.14 - Watercraft Display Requests,article/287870
"Fire Regulations, Specific Occupancies ",FIR-5.02 - Festival (Open) Seating,article/25837
"Fire Regulations, Specific Occupancies ",FIR-5.03 - At-Risk Multi-Family Dwelling Plan,article/159020
"Fire Regulations, Specific Occupancies ",FIR-5.04 - Moorage Standpipe Test,article/25838
"Fire Regulations, Specific Occupancies ",FIR-5.05 - Bridge Standpipe Test,article/25870
Food,ENN-1.01 - Food Policy Council,article/8728
Funds & Accounts ,FIN-4.01 - Community and School Traffic Safety Account,article/36207
Funds & Accounts ,FIN-4.02 - Parks Local Option Levy Fund,article/52309
Funds & Accounts ,FIN-4.03 - Fund Management (June 2005),article/97215
Funds & Accounts ,FIN-4.04 - Fund Management (June 2006),article/135458
Funds & Accounts ,FIN-4.05 - Sewer System Safety Net Fund & Sewer Revolving Loan Fund Closure,article/162101
Funds & Accounts ,FIN-4.06 - Public Safety Fund Closure and Renaming of Federal Grants Fund,article/203307
Funds & Accounts ,FIN-4.07 - FY 2008-09 Grants Fund Major Supplemental Budget,article/224619
Funds & Accounts ,FIN-4.08 - FY 2008-09 Grant-Related Budget Amendments Minor Supplemental Budget,article/224825
Funds & Accounts ,"FIN-4.09 - Close the Water Growth Impact Trust Fund, the Portland Police Association Health Insurance Fund and the Parking Facilities Debt Redemption Fund, and create the Tax Increment Reimbursement Fund",article/270253
